Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
64,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,32,2880,32.0,1.22,1.22,4.41,3.22,73.8,0.47,0.28,0.25,0.31,31.3,0.06,0.06,0.00,0.00,0.0,Matches,a92ab7be
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,19,1710,19.0,1.84,1.84,5.32,3.58,67.3,0.32,0.26,0.42,0.16,15.8,0.11,0.11,0.00,0.00,0.0,Matches,c3e39f12
66,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26,26,2340,26.0,1.88,1.88,4.46,2.58,60.3,0.19,0.19,0.62,0.15,15.4,0.15,0.12,0.04,0.00,25.0,Matches,d0b3ceb9
67,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,1,0,10,0.1,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,1940be91
68,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,8,720,8.0,3.75,3.75,6.75,3.25,48.1,0.00,0.00,1.00,0.00,0.0,0.25,0.25,0.00,0.00,0.0,Matches,86314793
69,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,31,2790,31.0,1.45,1.45,4.35,2.97,72.6,0.26,0.26,0.48,0.26,25.8,0.26,0.26,0.00,0.00,0.0,Matches,db3164e1
70,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,2,1,108,1.2,2.50,2.50,2.50,0.00,0.0,0.00,0.00,0.83,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,87b498b0
71,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38,38,3420,38.0,1.50,1.50,4.74,3.26,70.0,0.42,0.26,0.32,0.21,21.1,0.13,0.08,0.05,0.00,40.0,Matches,7ba6d84e
72,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches,53e494ec
73,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34,34,3060,34.0,1.65,1.65,4.59,3.00,67.3,0.29,0.24,0.47,0.26,26.5,0.15,0.15,0.00,0.00,0.0,Matches,17376543
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25,25,2250,25.0,1.00,1.00,2.68,1.72,68.7,0.56,0.20,0.24,0.40,40.0,0.16,0.16,0.00,0.00,0.0,Matches,cecbce23
75,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1,1,90,1.0,2.00,2.00,4.00,2.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,f26dee6b
76,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21,21,1890,21.0,1.33,1.33,4.05,2.76,69.4,0.38,0.33,0.29,0.10,9.5,0.10,0.10,0.00,0.00,0.0,Matches,3f034750
77,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,15,15,1197,13.3,2.03,2.03,5.04,3.16,61.2,0.15,0.38,0.38,0.08,6.7,0.08,0.08,0.00,0.00,0.0,Matches,667b65da
78,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1,1,90,1.0,3.00,3.00,6.00,3.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,30061f53
79,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1,1,90,1.0,2.00,2.00,6.00,5.00,66.7,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,37998008
80,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,30,30,2655,29.5,1.12,1.12,3.93,2.81,74.1,0.31,0.37,0.31,0.37,36.7,0.10,0.10,0.00,0.00,0.0,Matches,ab13a5aa
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33,33,2967,33.0,1.03,1.03,3.36,2.36,72.1,0.48,0.21,0.27,0.27,27.3,0.09,0.09,0.00,0.00,0.0,Matches,bcb2ccd8
82,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9,9,810,9.0,2.44,2.44,6.33,3.78,64.9,0.11,0.22,0.67,0.11,11.1,0.44,0.22,0.11,0.11,33.3,Matches,e082af5b
83,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37,37,3330,37.0,0.81,0.81,3.35,2.57,79.0,0.68,0.24,0.08,0.41,40.5,0.11,0.11,0.00,0.00,0.0,Matches,74419746
84,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2,2,180,2.0,3.00,3.00,6.50,4.00,53.8,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,76eca7e2
85,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,1993,36,36,3240,36.0,1.33,1.33,4.08,2.69,70.1,0.33,0.28,0.39,0.33,33.3,0.19,0.11,0.08,0.00,42.9,Matches,a4995f48
86,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,33,1987,5,4,405,4.5,2.67,2.67,5.56,2.89,60.0,0.22,0.00,0.67,0.00,0.0,0.44,0.44,0.00,0.00,0.0,Matches,2e7ff968
87,Timo Horn,de GER,GK,Köln,de Bundesliga,28,1993,13,13,1170,13.0,1.62,1.62,4.31,2.77,62.5,0.31,0.46,0.23,0.08,7.7,0.00,0.00,0.00,0.00,,Matches,3cd9e95a
88,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,1989,32,32,2880,32.0,1.38,1.37,4.81,3.41,72.7,0.53,0.22,0.25,0.25,25.0,0.13,0.06,0.03,0.03,33.3,Matches,ad3389d5
89,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1,1,90,1.0,0.00,0.00,4.00,4.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches,62ba5881
90,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1,1,90,1.0,0.00,0.00,1.00,1.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches,a4527d33
91,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2,2,180,2.0,1.00,1.00,4.00,3.00,75.0,0.50,0.50,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,Matches,62d7ef38
92,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,1,0,36,0.4,0.00,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,3f70db80
93,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,29,29,2565,28.5,1.37,1.37,3.86,2.56,67.3,0.67,0.11,0.21,0.25,24.1,0.11,0.11,0.00,0.00,0.0,Matches,cd59b9df
94,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29,29,2610,29.0,2.14,2.14,5.69,3.62,66.7,0.14,0.17,0.69,0.17,17.2,0.28,0.24,0.00,0.03,0.0,Matches,f23f9d20
95,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,38,3420,38.0,1.26,1.26,4.08,2.76,71.6,0.39,0.26,0.34,0.21,21.1,0.18,0.11,0.08,0.00,42.9,Matches,4e7db402
96,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,27,27,2313,25.7,1.28,1.28,3.89,2.57,70.0,0.39,0.27,0.31,0.19,18.5,0.16,0.12,0.04,0.00,25.0,Matches,edbe46dc
97,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38,38,3420,38.0,1.34,1.34,4.47,3.08,76.5,0.21,0.39,0.39,0.34,34.2,0.34,0.29,0.05,0.00,15.4,Matches,6c4776b1
98,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4,4,360,4.0,2.25,2.25,4.75,2.50,52.6,0.25,0.00,0.75,0.25,25.0,0.00,0.00,0.00,0.00,,Matches,2628fd2b
99,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,1,0,8,0.1,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,10.0,,0.00,0.00,0.00,0.00,,Matches,96fcd380
100,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,6,6,495,5.5,1.64,1.64,7.09,5.45,76.9,0.18,0.18,0.55,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,c9c32262
101,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12,12,1080,12.0,2.00,2.00,5.17,3.25,62.9,0.08,0.42,0.50,0.25,25.0,0.08,0.08,0.00,0.00,0.0,Matches,4d6a842d
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38,38,3420,38.0,1.05,1.05,3.61,2.58,72.3,0.58,0.13,0.29,0.42,42.1,0.05,0.05,0.00,0.00,0.0,Matches,8f62b6ee
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,34,34,2982,33.1,1.36,1.36,4.47,3.17,71.6,0.42,0.27,0.27,0.24,23.5,0.12,0.09,0.03,0.00,25.0,Matches,f00de885
104,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,36,36,3177,35.3,1.39,1.39,4.45,3.12,70.7,0.25,0.31,0.40,0.25,25.0,0.11,0.08,0.00,0.03,0.0,Matches,73683fa9
105,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,29,2610,29.0,1.07,1.07,2.97,1.90,68.6,0.52,0.21,0.28,0.34,34.5,0.14,0.14,0.00,0.00,0.0,Matches,20b9f052
106,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2,2,180,2.0,2.50,2.50,3.50,1.00,28.6,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,939bc634
107,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,10,9,885,9.8,2.04,2.03,5.00,2.96,65.3,0.20,0.10,0.61,0.20,22.2,0.31,0.31,0.00,0.00,0.0,Matches,5584552e
108,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,2,180,2.0,1.00,1.00,4.50,3.00,88.9,0.00,0.50,0.50,0.00,0.0,1.00,0.50,0.50,0.00,50.0,Matches,3061e1ec
109,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,8a6ab963
110,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,27,2430,27.0,1.44,1.44,3.85,2.52,64.4,0.41,0.26,0.33,0.22,22.2,0.07,0.07,0.00,0.00,0.0,Matches,7fe12375
111,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,17,16,1485,16.5,1.64,1.64,5.09,3.45,73.8,0.06,0.24,0.67,0.06,6.3,0.36,0.30,0.00,0.06,0.0,Matches,14a96e1c
112,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,32,2880,32.0,0.66,0.66,3.16,2.53,81.2,0.69,0.22,0.09,0.53,53.1,0.06,0.06,0.00,0.00,0.0,Matches,fcb38f57
113,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,18,1620,18.0,1.11,1.11,4.17,3.06,76.0,0.28,0.39,0.33,0.44,44.4,0.11,0.11,0.00,0.00,0.0,Matches,d4b73232
114,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,9,810,9.0,0.78,0.78,2.89,2.22,73.1,0.67,0.22,0.11,0.56,55.6,0.00,0.00,0.00,0.00,,Matches,1d2d5cc8
115,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,10,900,10.0,1.40,1.40,4.40,3.10,68.2,0.30,0.30,0.40,0.20,20.0,0.00,0.00,0.00,0.00,,Matches,f7d3a773
116,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,1,0,11,0.1,0.00,0.00,10.0,10.0,100.0,0.00,0.00,0.00,10.0,,0.00,0.00,0.00,0.00,,Matches,880fcdbb
