Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,1.67,0.00,0.00,6.67,1.67,1.67,1.67,0.00,0.00,0.00,0.00,0.00,3.33,1.67,3.33,33.3,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,0.35,0.18,0.00,2.28,0.35,0.00,0.18,1.93,1.58,0.00,0.00,0.00,7.37,1.05,0.35,75.0,Matches,31f5b89b
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,0.29,0.00,0.00,3.71,2.29,0.00,0.00,0.57,2.86,0.00,0.29,0.00,3.71,1.14,1.14,50.0,Matches,fdf4b948
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,17.0,0.29,0.00,0.00,1.47,1.35,0.24,1.82,1.18,1.12,0.00,0.06,0.00,5.88,1.00,1.18,45.9,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,0.07,0.00,0.00,0.54,0.20,0.07,1.36,0.75,0.44,0.00,0.00,0.00,4.80,0.48,0.75,38.9,Matches,05439de2
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,0.56,0.00,0.00,2.78,3.89,0.00,1.11,0.56,2.22,0.00,0.00,0.00,3.33,0.00,0.56,0.0,Matches,5314e067
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,0.32,0.00,0.00,1.20,0.57,0.06,4.05,1.90,1.27,0.00,0.13,0.00,6.77,0.95,1.20,44.1,Matches,99ea2ddd
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,0.27,0.00,0.00,1.10,1.10,0.96,0.14,0.14,0.68,0.14,0.00,0.00,1.78,2.60,3.15,45.2,Matches,834d0be5
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,0.37,0.00,0.00,0.88,0.65,0.37,4.12,1.12,1.16,0.00,0.00,0.00,7.28,0.44,0.78,36.1,Matches,4601e194
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,3d738df0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,0.19,0.00,0.00,0.50,1.00,0.04,5.48,0.50,0.65,0.00,0.00,0.00,5.21,0.23,0.46,33.3,Matches,5294a83f
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,0.29,0.00,0.00,0.66,0.44,0.07,0.11,0.77,0.55,0.00,0.00,0.00,5.00,1.50,0.99,60.3,Matches,4bd414c1
55,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,31,1989,12.6,0.24,0.00,0.00,0.48,1.03,0.16,6.19,1.11,1.51,0.00,0.00,0.00,5.16,0.32,1.03,23.5,Matches,b827d5b3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,0.11,0.00,0.00,0.57,0.80,0.92,0.11,0.69,0.34,0.00,0.00,0.00,3.22,1.15,2.87,28.6,Matches,a7a9d95a
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,0.12,0.00,0.00,1.12,0.76,0.00,0.24,1.53,1.71,0.00,0.00,0.00,7.41,1.82,0.71,72.1,Matches,77e84962
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,0.57,0.00,0.00,2.44,2.85,0.08,1.87,1.06,1.63,0.00,0.08,0.00,6.99,1.79,1.87,48.9,Matches,036bba5f
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,0.56,0.00,0.00,1.57,0.26,0.00,0.15,1.31,1.27,0.00,0.07,0.00,5.92,2.58,1.46,63.9,Matches,bb08bce9
60,Iván Alejo,es ESP,MF,Cádiz,es La Liga,26,1995,11.8,0.59,0.00,0.00,3.14,2.80,0.42,8.22,0.68,1.27,0.00,0.08,0.00,6.27,0.93,1.02,47.8,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.08,0.00,100.0,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,0.23,0.04,0.00,1.94,1.43,0.04,1.71,0.58,0.74,0.00,0.00,0.00,5.00,0.50,0.97,34.2,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,0.06,0.00,0.00,0.38,0.22,0.35,8.61,1.36,0.73,0.00,0.00,0.00,7.41,0.47,0.41,53.6,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,5.00,0.0,Matches,683a1d81
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,0.29,0.10,0.10,1.57,2.16,0.49,1.13,0.39,0.25,0.00,0.00,0.00,2.99,0.74,2.89,20.3,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.03,0.00,0.00,0.03,2.22,0.42,0.03,93.8,Matches,7a2e46a8
