Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,25,21,1844,20.5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.03,0.02,0.05,0.03,0.05,Matches,f2a68b97
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,4,0,77,0.9,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,14,10,923,10.3,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,0.07,0.07,0.05,0.13,0.07,0.05,0.12,0.07,0.12,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,2,2,124,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.50,0.64,0.14,0.53,0.67,0.14,0.67,Matches,b8bd60fe
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,7,0,54,0.6,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.16,0.07,0.23,0.16,0.23,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,8,6,516,5.7,0.00,0.00,0.00,0.00,0.00,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.04,0.01,0.03,0.04,0.01,0.04,Matches,31f5b89b
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,10,4,315,3.5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches,fdf4b948
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,26,19,1527,17.0,0.12,0.12,0.12,0.00,0.00,0.29,0.00,0.12,0.12,0.24,0.12,0.24,0.08,0.08,0.15,0.24,0.08,0.16,0.24,0.08,0.24,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,30,30,2642,29.4,0.07,0.10,0.07,0.00,0.00,0.07,0.00,0.07,0.10,0.17,0.07,0.17,0.06,0.06,0.07,0.13,0.06,0.07,0.13,0.06,0.13,Matches,05439de2
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,4,0,158,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.02,0.04,0.02,0.04,Matches,5314e067
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,23,16,1425,15.8,0.00,0.06,0.00,0.00,0.00,0.32,0.00,0.00,0.06,0.06,0.00,0.06,0.08,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.16,Matches,99ea2ddd
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,27,5,655,7.3,0.82,0.00,0.82,0.00,0.14,0.27,0.00,0.82,0.00,0.82,0.82,0.82,0.85,0.74,0.16,0.90,0.85,0.16,1.02,0.75,0.91,Matches,834d0be5
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,30,30,2644,29.4,0.07,0.34,0.07,0.00,0.00,0.37,0.00,0.07,0.34,0.41,0.07,0.41,0.06,0.06,0.23,0.29,0.06,0.23,0.29,0.06,0.29,Matches,4601e194
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,2,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.25,0.00,0.25,0.25,0.25,Matches,3d738df0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,34,27,2353,26.1,0.19,0.34,0.19,0.00,0.00,0.19,0.00,0.19,0.34,0.54,0.19,0.54,0.16,0.16,0.30,0.46,0.16,0.30,0.46,0.16,0.46,Matches,5294a83f
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,28,28,2465,27.4,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.02,0.00,0.02,0.02,0.02,Matches,4bd414c1
