Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1581,Dodi Lukebakio,be BEL,MF,Wolfsburg,de Bundesliga,23,1997,19,7,882,9.8,0.10,0.20,0.10,0.00,0.00,0.20,0.00,0.10,0.20,0.31,0.10,0.31,0.27,0.27,0.23,0.50,0.27,0.23,0.50,0.27,0.50,Matches,0c61c77c
1582,Saša Lukić,rs SRB,MF,Torino,it Serie A,24,1996,35,34,2982,33.1,0.15,0.12,0.06,0.09,0.09,0.30,0.00,0.15,0.12,0.27,0.06,0.18,0.16,0.08,0.14,0.22,0.16,0.13,0.29,0.09,0.22,Matches,c6e8cf1f
1583,Levi Lumeka,eng ENG,MFFW,Troyes,fr Ligue 1,22,1998,5,0,67,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,199ff86e
1584,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3061e1ec
1585,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8a6ab963
1586,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,24,1996,24,22,1958,21.8,0.00,0.05,0.00,0.00,0.00,0.37,0.05,0.00,0.05,0.05,0.00,0.05,0.04,0.04,0.03,0.06,0.04,0.03,0.06,0.04,0.06,Matches,997fff07
1587,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,27,2430,27.0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fe12375
1588,Lyanco,br BRA,DF,Southampton,eng Premier League,24,1997,15,9,911,10.1,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches,b5bf1770
1589,Charalambos Lykogiannis,gr GRE,DFFW,Cagliari,it Serie A,27,1993,28,21,1817,20.2,0.05,0.00,0.05,0.00,0.00,0.10,0.00,0.05,0.00,0.05,0.05,0.05,0.07,0.07,0.05,0.12,0.07,0.06,0.13,0.07,0.13,Matches,5efc5389
1590,Yannis M'Bemba,fr FRA,DFFW,Nantes,fr Ligue 1,20,2001,2,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.44,0.00,2.44,2.44,2.44,Matches,080de72a
1591,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,22,1998,33,22,2123,23.6,0.21,0.08,0.13,0.08,0.13,0.17,0.00,0.21,0.08,0.30,0.13,0.21,0.29,0.19,0.11,0.31,0.29,0.11,0.41,0.19,0.31,Matches,83d074ff
1592,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,27,1993,22,5,523,5.8,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.17,0.00,0.17,0.02,0.02,0.17,0.17,0.01,0.17,0.18,0.01,0.18,Matches,b3f8bdef
1593,Darwin Machís,ve VEN,MFFW,Granada,es La Liga,28,1993,25,16,1376,15.3,0.26,0.13,0.26,0.00,0.00,0.13,0.00,0.26,0.13,0.39,0.26,0.39,0.14,0.14,0.18,0.33,0.14,0.19,0.32,0.14,0.32,Matches,ed6ea4d9
1594,Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,22,19,1529,17.0,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.10,0.14,0.04,0.10,0.14,0.04,0.14,Matches,0bb6e193
1595,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24,1996,35,28,2459,27.3,0.44,0.29,0.44,0.00,0.00,0.11,0.00,0.44,0.29,0.73,0.44,0.73,0.32,0.32,0.20,0.52,0.32,0.20,0.52,0.32,0.52,Matches,ee38d9c5
1596,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,17,16,1485,16.5,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,Matches,14a96e1c
1597,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,24,1997,35,35,2945,32.7,0.03,0.12,0.03,0.00,0.00,0.31,0.00,0.03,0.12,0.15,0.03,0.15,0.07,0.07,0.08,0.15,0.07,0.08,0.15,0.07,0.15,Matches,5db04597
1598,Louis Mafouta,cf CTA,FW,Metz,fr Ligue 1,27,1994,15,5,525,5.8,0.34,0.00,0.34,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,0.28,0.28,0.07,0.34,0.28,0.07,0.35,0.28,0.35,Matches,bec3d251
1599,Giulio Maggiore,it ITA,MF,Spezia,it Serie A,23,1998,35,33,2819,31.3,0.06,0.10,0.06,0.00,0.00,0.29,0.00,0.06,0.10,0.16,0.06,0.16,0.14,0.14,0.09,0.23,0.14,0.09,0.23,0.14,0.23,Matches,957e4c87
1600,Matej Maglica,hr CRO,MF,Stuttgart,de Bundesliga,22,1998,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,36cf2caf
1601,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,36,1984,12,2,271,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.03,0.02,0.03,Matches,07767f42
1602,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,25,1995,14,5,530,5.9,0.00,0.00,0.00,0.00,0.00,0.51,0.17,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.15,0.00,0.15,0.15,0.15,Matches,cce9f582
1603,Giangiacomo Magnani,it ITA,DF,Sampdoria,it Serie A,25,1995,4,3,239,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cce9f582
1604,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,23,1998,28,16,1463,16.3,0.00,0.06,0.00,0.00,0.00,0.25,0.00,0.00,0.06,0.06,0.00,0.06,0.04,0.04,0.05,0.09,0.04,0.05,0.09,0.04,0.09,Matches,d4d35152
1605,Yohann Magnin,fr FRA,MFDF,Clermont Foot,fr Ligue 1,24,1997,24,19,1717,19.1,0.05,0.00,0.05,0.00,0.00,0.10,0.00,0.05,0.00,0.05,0.05,0.05,0.08,0.08,0.03,0.11,0.08,0.03,0.11,0.08,0.11,Matches,caa7aaea
1606,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28,1993,30,28,2515,27.9,0.04,0.00,0.04,0.00,0.00,0.32,0.04,0.04,0.00,0.04,0.04,0.04,0.09,0.09,0.01,0.09,0.09,0.01,0.09,0.09,0.09,Matches,d8931174
1607,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,30,1991,28,15,1498,16.6,0.66,0.30,0.42,0.24,0.30,0.00,0.00,0.66,0.30,0.96,0.42,0.72,0.67,0.43,0.27,0.70,0.67,0.27,0.93,0.43,0.70,Matches,892d5bb1
1608,Arne Maier,de GER,MF,Augsburg,de Bundesliga,22,1999,29,21,1864,20.7,0.05,0.29,0.05,0.00,0.00,0.00,0.00,0.05,0.29,0.34,0.05,0.34,0.09,0.09,0.18,0.27,0.09,0.18,0.27,0.09,0.27,Matches,ab700320
1609,Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,25,1996,17,16,1267,14.1,0.14,0.00,0.14,0.00,0.00,0.43,0.00,0.14,0.00,0.14,0.14,0.14,0.06,0.06,0.04,0.11,0.07,0.04,0.11,0.07,0.11,Matches,e768de1f
1610,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,32,2880,32.0,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,fcb38f57
1611,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,eng Premier League,23,1997,8,2,268,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.13,0.13,0.03,0.12,0.15,0.03,0.15,Matches,e3a5814e
1612,Ainsley Maitland-Niles,eng ENG,DF,Roma,it Serie A,23,1997,8,7,487,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.11,0.19,0.07,0.11,0.18,0.07,0.18,Matches,e3a5814e
1613,Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22,1998,2,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,2.03,2.03,0.00,2.03,Matches,bc0bfc64
1614,Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29,1991,15,2,327,3.6,0.56,0.00,0.56,0.00,0.00,0.28,0.00,0.55,0.00,0.55,0.55,0.55,0.36,0.36,0.19,0.56,0.36,0.19,0.55,0.36,0.55,Matches,46907171
1615,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,23,1998,29,21,1832,20.4,0.29,0.39,0.29,0.00,0.00,0.05,0.00,0.29,0.39,0.69,0.29,0.69,0.25,0.25,0.29,0.55,0.26,0.29,0.55,0.26,0.55,Matches,fc46aab1
1616,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,23,1998,33,26,2351,26.1,0.04,0.11,0.04,0.00,0.00,0.27,0.04,0.04,0.11,0.15,0.04,0.15,0.11,0.11,0.10,0.21,0.11,0.10,0.21,0.11,0.21,Matches,22bfb57e
1617,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,18,2002,23,1,322,3.6,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.11,0.25,0.13,0.12,0.25,0.13,0.25,Matches,654f49ca
1618,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,26,1995,35,34,2936,32.6,0.03,0.06,0.03,0.00,0.00,0.15,0.00,0.03,0.06,0.09,0.03,0.09,0.09,0.09,0.04,0.13,0.09,0.04,0.13,0.09,0.13,Matches,00b28772
1619,Nikola Maksimović,rs SRB,DF,Genoa,it Serie A,29,1991,14,13,1115,12.4,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.03,0.02,0.01,0.03,0.02,0.03,Matches,16b9d5cf
1620,Kévin Malcuit,ma MAR,DFMF,Napoli,it Serie A,30,1991,8,2,288,3.2,0.00,0.31,0.00,0.00,0.00,0.94,0.00,0.00,0.31,0.31,0.00,0.31,0.00,0.00,0.06,0.09,0.01,0.07,0.08,0.01,0.08,Matches,d6a889ea
1621,Daniel Maldini,it ITA,MF,Milan,it Serie A,19,2001,8,2,148,1.6,0.63,0.00,0.63,0.00,0.00,0.63,0.00,0.61,0.00,0.61,0.61,0.61,0.19,0.19,0.06,0.25,0.21,0.05,0.26,0.21,0.26,Matches,801831fe
1622,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,22,1998,28,11,1019,11.3,0.18,0.18,0.18,0.00,0.00,0.44,0.00,0.18,0.18,0.35,0.18,0.35,0.24,0.24,0.17,0.41,0.24,0.17,0.41,0.24,0.41,Matches,4c8845f7
1623,Donyell Malen,nl NED,FWMF,Dortmund,de Bundesliga,22,1999,27,20,1684,18.7,0.27,0.16,0.27,0.00,0.00,0.11,0.00,0.27,0.16,0.43,0.27,0.43,0.28,0.28,0.20,0.48,0.28,0.20,0.48,0.28,0.48,Matches,864163f3
1624,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,28,1993,30,19,1592,17.7,0.34,0.28,0.34,0.00,0.00,0.56,0.00,0.34,0.28,0.62,0.34,0.62,0.21,0.21,0.38,0.60,0.22,0.38,0.60,0.22,0.60,Matches,48d5bd33
1625,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,30,1991,21,21,1826,20.3,0.05,0.05,0.05,0.00,0.00,0.25,0.10,0.05,0.05,0.10,0.05,0.10,0.05,0.05,0.10,0.16,0.05,0.10,0.16,0.05,0.16,Matches,cb574619
1626,Lennard Maloney,us USA,DF,Dortmund,de Bundesliga,21,1999,2,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.00,0.45,Matches,75402e99
1627,Mickael Malsa,mq MTQ,MF,Levante,es La Liga,25,1995,26,11,1143,12.7,0.08,0.16,0.08,0.00,0.00,0.55,0.00,0.08,0.16,0.24,0.08,0.24,0.08,0.08,0.20,0.28,0.08,0.19,0.27,0.08,0.27,Matches,bbc19252
1628,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,18,1620,18.0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d4b73232
1629,Rey Manaj,al ALB,FW,Spezia,it Serie A,24,1997,30,19,1768,19.6,0.26,0.00,0.15,0.10,0.15,0.46,0.00,0.25,0.00,0.25,0.15,0.15,0.40,0.28,0.07,0.35,0.40,0.07,0.47,0.28,0.35,Matches,7703afb6
1630,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,21,1999,14,9,799,8.9,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.00,0.07,0.06,0.07,Matches,0f86995c
1631,Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,32,1989,28,25,2361,26.2,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,c26a3918
1632,Gianluca Mancini,it ITA,DF,Roma,it Serie A,25,1996,33,33,2878,32.0,0.00,0.00,0.00,0.00,0.00,0.50,0.03,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.01,0.10,0.09,0.01,0.11,0.09,0.10,Matches,5aa53281
1633,Leonardo Mancuso,it ITA,FW,Empoli,it Serie A,29,1992,8,5,425,4.7,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,0.40,0.40,0.06,0.49,0.41,0.07,0.48,0.41,0.48,Matches,311027cb
1634,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1d2d5cc8
1635,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,27,1994,17,15,1298,14.4,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.03,0.03,0.01,0.04,0.03,0.04,Matches,c20bdcd7
1636,Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,27,1994,18,18,1524,16.9,0.06,0.00,0.06,0.00,0.00,0.41,0.00,0.06,0.00,0.06,0.06,0.06,0.03,0.03,0.02,0.04,0.03,0.02,0.04,0.03,0.04,Matches,c20bdcd7
1637,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,29,1991,17,14,1375,15.3,0.07,0.00,0.07,0.00,0.00,0.20,0.00,0.07,0.00,0.07,0.07,0.07,0.10,0.10,0.01,0.11,0.10,0.00,0.11,0.10,0.11,Matches,fbd6378b
1638,Rolando Mandragora,it ITA,MF,Torino,it Serie A,24,1997,21,16,1319,14.7,0.00,0.14,0.00,0.00,0.00,0.48,0.07,0.00,0.14,0.14,0.00,0.14,0.12,0.12,0.22,0.33,0.12,0.22,0.33,0.12,0.33,Matches,c7259b83
1639,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f7d3a773
1640,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,29,1992,34,32,2819,31.3,0.51,0.06,0.51,0.00,0.00,0.16,0.00,0.51,0.06,0.57,0.51,0.57,0.58,0.58,0.19,0.78,0.58,0.19,0.77,0.58,0.77,Matches,c691bfe2
1641,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,fr Ligue 1,30,1991,14,14,1179,13.1,0.08,0.00,0.08,0.00,0.00,0.69,0.00,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.00,0.04,0.04,0.00,0.04,0.04,0.04,Matches,f520049f
1642,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,23,1998,28,22,1853,20.6,0.05,0.15,0.05,0.00,0.00,0.19,0.00,0.05,0.15,0.19,0.05,0.19,0.10,0.10,0.15,0.25,0.10,0.15,0.25,0.10,0.25,Matches,a572e291
1643,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,34,1987,33,25,2193,24.4,0.29,0.08,0.04,0.25,0.25,0.25,0.00,0.29,0.08,0.37,0.04,0.12,0.24,0.04,0.08,0.12,0.24,0.08,0.31,0.04,0.12,Matches,c801616a
1644,Ricardo Mangas,pt POR,DF,Bordeaux,fr Ligue 1,23,1998,29,27,2353,26.1,0.11,0.04,0.11,0.00,0.00,0.08,0.00,0.11,0.04,0.15,0.11,0.15,0.08,0.08,0.03,0.12,0.08,0.04,0.12,0.08,0.12,Matches,eef2d8ce
1645,Kostas Manolas,gr GRE,DF,Napoli,it Serie A,30,1991,4,3,313,3.5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c707411f
1646,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,27,1994,19,15,1257,14.0,0.07,0.14,0.07,0.00,0.00,0.36,0.00,0.07,0.14,0.21,0.07,0.21,0.03,0.03,0.02,0.04,0.03,0.02,0.04,0.03,0.04,Matches,758dd7f0
1647,Myziane Maolida,fr FRA,MF,Nice,fr Ligue 1,22,1999,1,0,34,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,706a60e1
1648,Myziane Maolida,fr FRA,MFFW,Hertha BSC,de Bundesliga,22,1999,14,9,776,8.6,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.12,0.12,0.23,0.12,0.23,0.19,0.19,0.03,0.23,0.19,0.04,0.23,0.19,0.23,Matches,706a60e1
1649,Sekou Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,19,2002,26,8,905,10.1,0.59,0.00,0.50,0.10,0.10,0.20,0.00,0.60,0.00,0.60,0.50,0.50,0.51,0.49,0.10,0.59,0.52,0.10,0.62,0.49,0.59,Matches,3544641e
1650,Maranhão,br BRA,FWMF,Valencia,es La Liga,24,1996,29,8,973,10.8,0.09,0.28,0.09,0.00,0.00,0.28,0.00,0.09,0.28,0.37,0.09,0.37,0.34,0.34,0.22,0.57,0.35,0.23,0.57,0.35,0.57,Matches,ae86d473
1651,Nikola Maraš,rs SRB,DF,Rayo Vallecano,es La Liga,25,1995,16,11,1044,11.6,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,b9d0446f
1652,Fernando Marçal,br BRA,MFDF,Wolves,eng Premier League,32,1989,18,17,1449,16.1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches,9ae9eaea
1653,Marcelo,br BRA,DF,Real Madrid,es La Liga,33,1988,12,5,525,5.8,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,0.07,0.07,0.14,0.21,0.06,0.14,0.20,0.06,0.20,Matches,603116a7
1654,Marcelo,br BRA,DF,Bordeaux,fr Ligue 1,34,1987,11,11,898,10.0,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches,e3d0b0c4
1655,Marcelo,br BRA,DF,Lyon,fr Ligue 1,34,1987,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,e3d0b0c4
1656,Solly March,eng ENG,DFMF,Brighton,eng Premier League,27,1994,31,17,1746,19.4,0.00,0.10,0.00,0.00,0.00,0.05,0.00,0.00,0.10,0.10,0.00,0.10,0.07,0.07,0.14,0.21,0.07,0.15,0.21,0.07,0.21,Matches,bb5fbd2b
1657,Riccardo Marchizza,it ITA,DF,Empoli,it Serie A,23,1998,19,16,1346,15.0,0.00,0.07,0.00,0.00,0.00,0.27,0.00,0.00,0.07,0.07,0.00,0.07,0.03,0.03,0.10,0.13,0.03,0.10,0.13,0.03,0.13,Matches,91d0fabf
1658,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,29,1992,36,35,3124,34.7,0.03,0.00,0.03,0.00,0.00,0.17,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.07,0.02,0.09,0.07,0.02,0.09,0.07,0.09,Matches,8650af85
1659,Iván Marcone,ar ARG,MF,Elche,es La Liga,31,1990,20,10,809,9.0,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.02,0.00,0.02,0.02,0.02,Matches,b14f755d
1660,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,32,1989,22,19,1679,18.7,0.05,0.11,0.05,0.00,0.00,0.27,0.00,0.05,0.11,0.16,0.05,0.16,0.02,0.02,0.12,0.14,0.02,0.12,0.14,0.02,0.14,Matches,9f323c71
1661,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,880fcdbb
1662,José Mari,es ESP,MF,Cádiz,es La Liga,33,1987,11,4,386,4.3,0.00,0.00,0.00,0.00,0.00,0.70,0.23,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,0.10,0.00,0.10,0.10,0.10,Matches,6f4c734d
1663,Pablo Marí,es ESP,DF,Arsenal,eng Premier League,27,1993,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.03,0.04,0.06,0.03,0.06,Matches,aa54ec6f
1664,Pablo Marí,es ESP,DF,Udinese,it Serie A,27,1993,15,15,1341,14.9,0.13,0.00,0.13,0.00,0.00,0.13,0.07,0.13,0.00,0.13,0.13,0.13,0.05,0.05,0.05,0.10,0.05,0.05,0.10,0.05,0.10,Matches,aa54ec6f
1665,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,26,1995,24,24,2042,22.7,0.04,0.04,0.04,0.00,0.00,0.31,0.00,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.04,0.13,0.09,0.04,0.13,0.09,0.13,Matches,f0da930c
1666,Mariano,do DOM,FW,Real Madrid,es La Liga,27,1993,9,3,342,3.8,0.26,0.26,0.26,0.00,0.00,0.53,0.00,0.26,0.26,0.53,0.26,0.53,0.61,0.61,0.18,0.79,0.61,0.18,0.80,0.61,0.80,Matches,5c4dc0ff
1667,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,25,1996,36,31,2816,31.3,0.00,0.16,0.00,0.00,0.00,0.19,0.03,0.00,0.16,0.16,0.00,0.16,0.07,0.07,0.23,0.30,0.07,0.23,0.30,0.07,0.30,Matches,7fac99d4
1668,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,27,1994,26,21,1832,20.4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.06,0.03,0.02,0.06,0.03,0.06,Matches,d9764034
1669,Mika Màrmol,es ESP,DF,Barcelona,es La Liga,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7630876
1670,Omar Marmoush,eg EGY,MF,Wolfsburg,de Bundesliga,22,1999,2,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.03,0.68,0.71,0.03,0.71,Matches,0e0102eb
1671,Omar Marmoush,eg EGY,FW,Stuttgart,de Bundesliga,22,1999,21,19,1571,17.5,0.17,0.29,0.17,0.00,0.06,0.17,0.00,0.17,0.29,0.46,0.17,0.46,0.35,0.31,0.15,0.46,0.35,0.15,0.51,0.31,0.46,Matches,0e0102eb
1672,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,27,1994,32,32,2861,31.8,0.16,0.00,0.16,0.00,0.00,0.16,0.00,0.16,0.00,0.16,0.16,0.16,0.12,0.12,0.01,0.14,0.12,0.01,0.14,0.12,0.14,Matches,d5f2f82b
1673,Roger Martí,es ESP,FW,Levante,es La Liga,30,1991,29,25,2115,23.5,0.30,0.13,0.26,0.04,0.13,0.34,0.00,0.30,0.13,0.43,0.26,0.38,0.38,0.28,0.13,0.41,0.38,0.13,0.51,0.28,0.41,Matches,0ae4e09a
1674,Anthony Martial,fr FRA,FWMF,Manchester Utd,eng Premier League,25,1995,8,2,212,2.4,0.42,0.00,0.42,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,0.25,0.25,0.00,0.25,0.27,0.00,0.27,0.27,0.27,Matches,8b788c01
1675,Anthony Martial,fr FRA,FWMF,Sevilla,es La Liga,25,1995,9,7,490,5.4,0.00,0.19,0.00,0.00,0.00,0.19,0.00,0.00,0.18,0.18,0.00,0.18,0.11,0.11,0.02,0.15,0.12,0.03,0.14,0.12,0.14,Matches,8b788c01
1676,Martín,es ESP,MF,Cádiz,es La Liga,22,1999,6,1,115,1.3,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.06,0.01,0.08,0.06,0.08,Matches,cbec0059
