Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
22,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38.0,1.50,0.11,0.00,0.21,0.05,1.34,0.28,-0.11,-0.10,7.63,16.4,46.5,23.1,5.39,43.1,37.4,8.63,75.0,53.1,14.2,0.42,3.0,0.89,0.89,14.1,Matches,3d214e5f
23,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31.0,0.77,0.06,0.06,0.19,0.00,0.86,0.24,0.08,+0.09,4.90,12.2,40.2,26.7,3.74,30.2,33.1,7.77,53.1,41.2,13.5,0.87,6.4,0.77,0.77,12.8,Matches,f6798fc3
24,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,16.2,1.17,0.06,0.00,0.06,0.12,1.15,0.31,0.10,+0.10,6.73,16.8,40.1,25.0,3.27,51.9,39.9,6.11,62.6,47.9,15.5,0.37,2.4,0.56,0.56,11.0,Matches,10072610
25,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4.0,1.75,0.00,0.00,0.75,0.00,1.68,0.28,-0.07,-0.07,2.50,5.50,45.5,23.0,5.50,20.7,26.8,9.25,8.1,19.6,16.8,0.50,3.0,1.00,1.00,17.8,Matches,d28339cb
26,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14.0,2.00,0.21,0.07,0.29,0.14,1.64,0.28,-0.21,-0.22,8.57,23.3,36.8,31.5,3.50,52.2,41.1,8.21,83.5,55.9,16.0,0.57,3.6,1.71,1.71,17.2,Matches,25bdea4b
27,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1.0,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,-0.01,0.00,7.00,0.0,20.0,3.00,30.0,28.1,3.00,33.3,34.3,5.00,0.00,0.0,5.00,5.00,27.3,Matches,9d12e142
28,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,8.5,1.53,0.00,0.12,0.12,0.24,1.14,0.31,-0.15,-0.16,2.94,10.9,26.9,26.0,4.71,28.5,29.8,7.76,45.5,36.3,16.4,1.29,7.9,0.82,0.82,11.2,Matches,cc70a1d5
29,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1.0,1.00,0.00,0.00,0.00,0.00,1.70,0.35,0.70,+0.73,1.00,3.00,33.3,17.0,6.00,11.8,19.2,7.00,14.3,24.9,14.0,1.00,7.1,1.00,1.00,22.5,Matches,db87a2c4
30,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2.0,2.50,0.00,0.00,0.50,0.00,1.65,0.31,-0.85,-0.85,8.50,18.0,47.2,23.5,0.00,51.1,38.4,6.50,92.3,56.5,16.5,0.50,3.0,2.00,2.00,14.0,Matches,a179d516
31,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,17.1,1.75,0.12,0.00,0.41,0.00,1.61,0.30,-0.15,-0.15,6.02,16.1,37.3,16.7,5.09,44.8,38.9,9.82,88.1,58.5,15.4,0.58,3.8,0.76,0.76,12.8,Matches,5ee6e943
