Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,181,14,108,60,15,1,181,1,3,33.3,3,2,111,2,Matches,eaf71a5e
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4.0,147,9,18,77,53,15,147,4,6,66.7,6,2,104,25,Matches,10549b49
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23.0,2001,110,611,928,477,53,2001,15,19,78.9,21,10,1415,54,Matches,53cad200
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,1031,56,331,608,113,8,1031,22,31,71.0,29,20,511,5,Matches,bfd381b3
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,144,7,18,56,73,19,144,7,11,63.6,8,4,96,20,Matches,09a9e921
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,403,326,401,2,0,0,403,1,1,100.0,0,0,148,0,Matches,1c0eea98
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,829,84,424,391,18,7,829,4,5,80.0,4,1,611,2,Matches,114bbdee
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,1908,76,462,1181,291,25,1908,34,50,68.0,47,26,1113,23,Matches,e8c930bb
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,905,800,901,4,0,0,905,0,0,,1,0,310,0,Matches,e4346678
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,1570,147,640,905,30,19,1570,2,4,50.0,7,5,1056,6,Matches,06df8256
